database,query,model,description,threads,duration_s,ops,throughput_ops_s,p50_ms,p95_ms,p99_ms,mean_ms
foundationdb,q1,L1,Point lookup by TMDB id,1,8.0,12044,1505.5,0.539,0.977,2.041,0.663
foundationdb,q1,L1,Point lookup by TMDB id,4,8.0,49705,6213.1,0.599,0.909,1.326,0.643
foundationdb,q1,L1,Point lookup by TMDB id,16,8.0,83969,10496.1,1.444,2.138,2.786,1.523
foundationdb,q3,L2,All movies of year 2017,1,8.0,149,18.6,43.504,73.482,93.85,53.916
foundationdb,q3,L2,All movies of year 2017,4,8.0,479,59.9,55.507,84.87,532.457,67.048
foundationdb,q3,L2,All movies of year 2017,16,8.0,778,97.2,143.269,194.457,1106.467,165.767
foundationdb,q6,L2,Top 20 of Drama by popularity,1,8.0,5128,641.0,1.112,1.833,22.751,1.559
foundationdb,q6,L2,Top 20 of Drama by popularity,4,8.0,14695,1836.9,1.845,2.794,20.57,2.176
foundationdb,q6,L2,Top 20 of Drama by popularity,16,8.0,29220,3652.5,4.029,5.684,7.443,4.403
foundationdb,q8,L2,Avg rating & count per genre per year,1,8.0,1080,135.0,6.758,10.867,18.517,7.417
foundationdb,q8,L2,Avg rating & count per genre per year,4,8.0,1594,199.2,13.683,27.283,181.532,20.416
foundationdb,q8,L2,Avg rating & count per genre per year,16,8.0,5738,717.2,20.3,28.825,42.092,22.574
