database,query,model,description,threads,duration_s,ops,throughput_ops_s,p50_ms,p95_ms,p99_ms,mean_ms
oracle-nosql,q1,L1,Point lookup by TMDB id,1,8.0,15766,1970.8,0.505,0.526,0.562,0.507
oracle-nosql,q1,L1,Point lookup by TMDB id,4,8.0,41069,5133.6,0.799,0.961,1.038,0.779
oracle-nosql,q1,L1,Point lookup by TMDB id,16,8.0,51739,6467.4,2.322,4.167,5.175,2.473
oracle-nosql,q3,L2,All movies of year 2017,1,8.0,375,46.9,22.099,23.078,23.693,21.365
oracle-nosql,q3,L2,All movies of year 2017,4,8.0,744,93.0,42.985,47.914,60.017,43.031
oracle-nosql,q3,L2,All movies of year 2017,16,8.0,885,110.6,133.079,197.984,212.48,146.012
oracle-nosql,q6,L2,Top 20 of Drama by popularity,1,8.0,5480,685.0,1.461,1.514,1.637,1.46
oracle-nosql,q6,L2,Top 20 of Drama by popularity,4,8.0,10257,1282.1,3.035,3.687,5.093,3.12
oracle-nosql,q6,L2,Top 20 of Drama by popularity,16,8.0,10622,1327.8,7.654,45.678,50.972,12.054
oracle-nosql,q8,L2,Avg rating & count per genre per year,1,8.0,1271,158.9,6.25,6.438,7.616,6.296
oracle-nosql,q8,L2,Avg rating & count per genre per year,4,8.0,2450,306.2,12.759,15.144,17.923,13.071
oracle-nosql,q8,L2,Avg rating & count per genre per year,16,8.0,2277,284.6,55.373,80.441,94.176,56.319
