database,query,model,description,threads,duration_s,ops,throughput_ops_s,p50_ms,p95_ms,p99_ms,mean_ms
postgresql,q1,L1,Point lookup by TMDB id,1,8.0,142883,17860.4,0.058,0.072,0.181,0.056
postgresql,q1,L1,Point lookup by TMDB id,4,8.0,324752,40594.0,0.087,0.159,0.223,0.098
postgresql,q1,L1,Point lookup by TMDB id,16,8.0,1006376,125797.0,0.06,0.294,0.967,0.126
postgresql,q3,L2,All movies of year 2017,1,8.0,132749,16593.6,0.061,0.075,0.18,0.06
postgresql,q3,L2,All movies of year 2017,4,8.0,258193,32274.1,0.113,0.189,0.249,0.123
postgresql,q3,L2,All movies of year 2017,16,8.0,734026,91753.2,0.083,0.405,1.457,0.173
postgresql,q6,L2,Top 20 of Drama by popularity,1,8.0,132339,16542.4,0.061,0.07,0.107,0.06
postgresql,q6,L2,Top 20 of Drama by popularity,4,8.0,241419,30177.4,0.116,0.21,0.329,0.132
postgresql,q6,L2,Top 20 of Drama by popularity,16,8.0,783270,97908.8,0.099,0.363,0.881,0.163
postgresql,q8,L2,Avg rating & count per genre per year,1,8.0,32988,4123.5,0.242,0.257,0.278,0.242
postgresql,q8,L2,Avg rating & count per genre per year,4,8.0,59383,7422.9,0.524,0.623,0.71,0.538
postgresql,q8,L2,Avg rating & count per genre per year,16,8.0,103309,12913.6,0.982,2.576,5.025,1.238
