database,query,category,description,model,full_scan,n,p50_ms,p95_ms,p99_ms,mean_ms,min_ms
foundationdb,q1,simple,Point lookup by TMDB id,L1,False,200,2.031,2.942,3.072,2.009,0.729
foundationdb,q1,simple,Point lookup by TMDB id,L2,True,3,740.145,741.055,741.055,732.832,717.296
foundationdb,q2,simple,Lookup by IMDb id (alternate key),L1,False,200,1.998,3.029,3.803,1.945,0.814
foundationdb,q2,simple,Lookup by IMDb id (alternate key),L2,True,3,770.548,788.603,788.603,744.296,673.738
foundationdb,q3,simple,All movies of year 2017,L1,False,50,24.831,27.006,28.432,24.874,23.801
foundationdb,q3,simple,All movies of year 2017,L2,False,50,67.401,73.065,73.565,67.09,56.421
foundationdb,q4,simple,Language 'en' with vote_count > 500,L1,False,50,8.037,9.882,10.686,8.103,6.687
foundationdb,q4,simple,Language 'en' with vote_count > 500,L2,True,3,796.846,813.039,813.039,780.087,730.376
foundationdb,q5,complex,Movies in both Drama and Horror,L1,False,20,130.017,133.992,133.992,130.111,126.786
foundationdb,q5,complex,Movies in both Drama and Horror,L2,True,3,761.285,767.237,767.237,760.114,751.818
foundationdb,q6,complex,Top 20 of Drama by popularity,L1,False,50,4.951,6.201,6.354,4.981,3.692
foundationdb,q6,complex,Top 20 of Drama by popularity,L2,False,50,2.068,3.331,3.47,2.161,1.413
foundationdb,q7,complex,"Same language, +/-1 year of Ad Astra",L1,True,3,346.855,364.828,364.828,348.717,334.466
foundationdb,q7,complex,"Same language, +/-1 year of Ad Astra",L2,False,20,145.851,150.976,150.976,145.921,138.078
foundationdb,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L1,True,3,1276.058,1284.127,1284.127,1274.902,1264.522
foundationdb,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L2,False,5,8.825,10.022,10.022,8.847,8.06
foundationdb,q9,aggregate,"Top 10 languages by count, mean popularity",L1,True,3,1243.932,1244.035,1244.035,1231.49,1206.504
foundationdb,q9,aggregate,"Top 10 languages by count, mean popularity",L2,False,5,3.861,4.204,4.204,3.615,2.859
foundationdb,q10,aggregate,"Yearly trend, vote_count >= 50",L1,True,3,1243.388,1264.571,1264.571,1247.345,1234.075
foundationdb,q10,aggregate,"Yearly trend, vote_count >= 50",L2,False,5,2.089,2.957,2.957,2.379,1.973
