database,query,category,description,model,full_scan,n,p50_ms,p95_ms,p99_ms,mean_ms,min_ms
foundationdb,q1,simple,Point lookup by TMDB id,L1,False,200,2.021,2.976,3.601,2.068,0.725
foundationdb,q1,simple,Point lookup by TMDB id,L2,True,3,715.378,726.556,726.556,718.187,712.626
foundationdb,q2,simple,Lookup by IMDb id (alternate key),L1,False,200,1.969,2.913,2.959,1.765,0.667
foundationdb,q2,simple,Lookup by IMDb id (alternate key),L2,True,3,707.594,801.754,801.754,736.924,701.425
foundationdb,q3,simple,All movies of year 2017,L1,False,50,24.848,27.144,48.281,25.473,23.272
foundationdb,q3,simple,All movies of year 2017,L2,False,50,69.492,73.249,74.235,69.218,61.808
foundationdb,q4,simple,Language 'en' with vote_count > 500,L1,False,50,8.035,9.968,11.265,8.063,6.423
foundationdb,q4,simple,Language 'en' with vote_count > 500,L2,True,3,769.461,772.779,772.779,767.441,760.085
foundationdb,q5,complex,Movies in both Drama and Horror,L1,False,20,131.619,136.681,136.681,131.04,126.086
foundationdb,q5,complex,Movies in both Drama and Horror,L2,True,3,756.0,832.711,832.711,776.892,741.964
foundationdb,q6,complex,Top 20 of Drama by popularity,L1,False,50,4.646,6.702,9.689,4.764,2.605
foundationdb,q6,complex,Top 20 of Drama by popularity,L2,False,50,2.362,4.192,5.802,2.736,1.675
foundationdb,q7,complex,"Same language, +/-1 year of Ad Astra",L1,True,3,310.576,325.793,325.793,311.139,297.05
foundationdb,q7,complex,"Same language, +/-1 year of Ad Astra",L2,False,20,157.431,162.14,162.14,156.246,146.364
foundationdb,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L1,True,3,1262.978,1271.787,1271.787,1263.637,1256.146
foundationdb,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L2,False,5,9.032,10.068,10.068,9.363,8.695
foundationdb,q9,aggregate,"Top 10 languages by count, mean popularity",L1,True,3,1277.748,1286.835,1286.835,1280.544,1277.05
foundationdb,q9,aggregate,"Top 10 languages by count, mean popularity",L2,False,5,4.034,4.967,4.967,4.198,3.942
foundationdb,q10,aggregate,"Yearly trend, vote_count >= 50",L1,True,3,1259.019,1275.051,1275.051,1263.418,1256.185
foundationdb,q10,aggregate,"Yearly trend, vote_count >= 50",L2,False,5,2.003,2.984,2.984,2.327,1.729
