database,query,category,description,model,full_scan,n,p50_ms,p95_ms,p99_ms,mean_ms,min_ms
oracle-nosql,q1,simple,Point lookup by TMDB id,L1,False,200,0.592,0.732,0.941,0.612,0.545
oracle-nosql,q1,simple,Point lookup by TMDB id,L2,True,3,6609.641,6798.94,6798.94,6662.851,6579.972
oracle-nosql,q2,simple,Lookup by IMDb id (alternate key),L1,False,200,1.177,1.79,3.019,1.267,0.972
oracle-nosql,q2,simple,Lookup by IMDb id (alternate key),L2,True,3,6559.698,6563.643,6563.643,6554.225,6539.333
oracle-nosql,q3,simple,All movies of year 2017,L1,False,50,9.174,11.898,16.215,9.654,8.646
oracle-nosql,q3,simple,All movies of year 2017,L2,False,50,20.613,25.053,31.315,21.551,19.632
oracle-nosql,q4,simple,Language 'en' with vote_count > 500,L1,False,50,4.624,8.476,15.148,5.072,3.819
oracle-nosql,q4,simple,Language 'en' with vote_count > 500,L2,True,3,6698.179,6734.122,6734.122,6689.861,6637.283
oracle-nosql,q5,complex,Movies in both Drama and Horror,L1,False,20,161.853,169.225,169.225,161.973,153.631
oracle-nosql,q5,complex,Movies in both Drama and Horror,L2,True,3,6584.124,6616.606,6616.606,6566.835,6499.776
oracle-nosql,q6,complex,Top 20 of Drama by popularity,L1,True,3,627.056,634.824,634.824,625.654,615.082
oracle-nosql,q6,complex,Top 20 of Drama by popularity,L2,False,50,1.968,2.618,3.015,2.038,1.597
oracle-nosql,q7,complex,"Same language, +/-1 year of Ad Astra",L1,True,3,289.593,341.956,341.956,303.276,278.28
oracle-nosql,q7,complex,"Same language, +/-1 year of Ad Astra",L2,True,3,1054.486,1059.707,1059.707,1050.831,1038.299
oracle-nosql,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L1,True,3,881.276,898.536,898.536,861.473,804.607
oracle-nosql,q8,aggregate,"Avg rating & count per genre per year, 2000-2020",L2,False,5,9.933,11.689,11.689,10.135,8.32
oracle-nosql,q9,aggregate,"Top 10 languages by count, mean popularity",L1,True,3,517.816,539.037,539.037,519.095,500.431
oracle-nosql,q9,aggregate,"Top 10 languages by count, mean popularity",L2,False,5,3.011,4.055,4.055,3.11,2.55
oracle-nosql,q10,aggregate,"Yearly trend, vote_count >= 50",L1,True,3,934.155,950.544,950.544,939.358,933.375
oracle-nosql,q10,aggregate,"Yearly trend, vote_count >= 50",L2,False,5,1.237,1.502,1.502,1.268,1.124
